gameId,roundNumber,condition,BDASize,BDAColor,BDAOtherColor,BDAItem,redBDAUtterance
ncA5wQm2wMWx6Qw4m,30,color32,size,color,othercolor,item,color
ncA5wQm2wMWx6Qw4m,64,color32,size,color,othercolor,item,color
RdyH6CPjXhDjFiBn6,15,color32,size,color,othercolor,item,color
RdyH6CPjXhDjFiBn6,71,color32,size,color,othercolor,item,color
ri9WkdRrTvaRgjAbd,9,color32,size,color,othercolor,item,color
ri9WkdRrTvaRgjAbd,28,color32,size,color,othercolor,item,color
xiA5WJQ9BBwufErLv,9,color32,size,color,othercolor,item,color
xiA5WJQ9BBwufErLv,56,color32,size,color,othercolor,item,color
8mztCuTtp44PNj9aR,51,color32,size,color,othercolor,item,color
PLenL62JMPMEiyEZd,11,color32,size,color,othercolor,item,color
PLenL62JMPMEiyEZd,21,color32,size,color,othercolor,item,color
MjtKysa8uTdkgCZhY,28,color32,size,color,othercolor,item,color
5FBHB2gcEAxFrnBTj,14,color32,size,color,othercolor,item,size_color
5FBHB2gcEAxFrnBTj,66,color32,size,color,othercolor,item,color
krPu8jL2ifeQiJtiz,46,color32,size,color,othercolor,item,color
krPu8jL2ifeQiJtiz,48,color32,size,color,othercolor,item,color
L3TwC8ZM9Kcs7QBx4,48,color32,size,color,othercolor,item,color
L3TwC8ZM9Kcs7QBx4,65,color32,size,color,othercolor,item,color
o9ajiSJQsC87WWPMG,33,color32,size,color,othercolor,item,color
o9ajiSJQsC87WWPMG,59,color32,size,color,othercolor,item,color
w2fzmfuovTcBBykSN,62,color32,size,color,othercolor,item,color
w2fzmfuovTcBBykSN,69,color32,size,color,othercolor,item,color
s4qdZmttuex8PYHYK,26,color32,size,color,othercolor,item,color
s4qdZmttuex8PYHYK,27,color32,size,color,othercolor,item,color
S7FpNmQk9XcQXJHTf,14,color32,size,color,othercolor,item,color
S7FpNmQk9XcQXJHTf,23,color32,size,color,othercolor,item,color
ZdgvjcuMKtwGjydbR,3,color32,size,color,othercolor,item,color
ZdgvjcuMKtwGjydbR,43,color32,size,color,othercolor,item,color
89kCaivgGxt9As4s5,11,color32,size,color,othercolor,item,color
89kCaivgGxt9As4s5,43,color32,size,color,othercolor,item,color
KkMmp5urRFWCQh3Hb,6,color32,size,color,othercolor,item,color
mJWL79uZrXh3YMtMs,29,color32,size,color,othercolor,item,color
mJWL79uZrXh3YMtMs,47,color32,size,color,othercolor,item,color
9xQZnMmmLAedmSnpb,49,color32,size,color,othercolor,item,color
9xQZnMmmLAedmSnpb,51,color32,size,color,othercolor,item,color
KchWPEsJ7AK6yb5ab,59,color32,size,color,othercolor,item,color
KchWPEsJ7AK6yb5ab,69,color32,size,color,othercolor,item,color
6iNLyBqiCFSzy3vxQ,35,color32,size,color,othercolor,item,color
6iNLyBqiCFSzy3vxQ,70,color32,size,color,othercolor,item,color
D5sTSEMaXM7y3Q7AW,41,color33,size,color,othercolor,item,color
g8tXfbQJ5w3Yo5kXq,6,color33,size,color,othercolor,item,color
g8tXfbQJ5w3Yo5kXq,57,color33,size,color,othercolor,item,color
Drac2QY2EJGirNSty,1,color33,size,color,othercolor,item,color
Drac2QY2EJGirNSty,37,color33,size,color,othercolor,item,color
ncA5wQm2wMWx6Qw4m,22,color33,size,color,othercolor,item,color
ncA5wQm2wMWx6Qw4m,69,color33,size,color,othercolor,item,color
RdyH6CPjXhDjFiBn6,16,color33,size,color,othercolor,item,color
RdyH6CPjXhDjFiBn6,65,color33,size,color,othercolor,item,color
ri9WkdRrTvaRgjAbd,57,color33,size,color,othercolor,item,color
ri9WkdRrTvaRgjAbd,66,color33,size,color,othercolor,item,color
xiA5WJQ9BBwufErLv,7,color33,size,color,othercolor,item,color
8mztCuTtp44PNj9aR,66,color33,size,color,othercolor,item,color
8mztCuTtp44PNj9aR,71,color33,size,color,othercolor,item,color
PLenL62JMPMEiyEZd,9,color33,size,color,othercolor,item,color
PLenL62JMPMEiyEZd,33,color33,size,color,othercolor,item,color
5FBHB2gcEAxFrnBTj,34,color33,size,color,othercolor,item,color
5FBHB2gcEAxFrnBTj,46,color33,size,color,othercolor,item,color
krPu8jL2ifeQiJtiz,31,color33,size,color,othercolor,item,color
krPu8jL2ifeQiJtiz,61,color33,size,color,othercolor,item,color
L3TwC8ZM9Kcs7QBx4,5,color33,size,color,othercolor,item,color
L3TwC8ZM9Kcs7QBx4,25,color33,size,color,othercolor,item,color
o9ajiSJQsC87WWPMG,20,color33,size,color,othercolor,item,color
o9ajiSJQsC87WWPMG,29,color33,size,color,othercolor,item,color
w2fzmfuovTcBBykSN,29,color33,size,color,othercolor,item,color
w2fzmfuovTcBBykSN,52,color33,size,color,othercolor,item,color
s4qdZmttuex8PYHYK,33,color33,size,color,othercolor,item,color
s4qdZmttuex8PYHYK,54,color33,size,color,othercolor,item,color
S7FpNmQk9XcQXJHTf,34,color33,size,color,othercolor,item,color
S7FpNmQk9XcQXJHTf,38,color33,size,color,othercolor,item,color
ZdgvjcuMKtwGjydbR,36,color33,size,color,othercolor,item,color
89kCaivgGxt9As4s5,42,color33,size,color,othercolor,item,color
89kCaivgGxt9As4s5,58,color33,size,color,othercolor,item,color
mJWL79uZrXh3YMtMs,7,color33,size,color,othercolor,item,color
mJWL79uZrXh3YMtMs,55,color33,size,color,othercolor,item,color
9xQZnMmmLAedmSnpb,15,color33,size,color,othercolor,item,color
9xQZnMmmLAedmSnpb,25,color33,size,color,othercolor,item,color
KchWPEsJ7AK6yb5ab,70,color33,size,color,othercolor,item,color
6iNLyBqiCFSzy3vxQ,7,color33,size,color,othercolor,item,color
6iNLyBqiCFSzy3vxQ,44,color33,size,color,othercolor,item,color
TXdqz7vwbJSeKpJHS,35,color41,size,color,othercolor,item,size_color
g8tXfbQJ5w3Yo5kXq,48,color41,size,color,othercolor,item,color
g8tXfbQJ5w3Yo5kXq,66,color41,size,color,othercolor,item,size_color
Drac2QY2EJGirNSty,22,color41,size,color,othercolor,item,color
Drac2QY2EJGirNSty,54,color41,size,color,othercolor,item,color
ncA5wQm2wMWx6Qw4m,55,color41,size,color,othercolor,item,color
ncA5wQm2wMWx6Qw4m,65,color41,size,color,othercolor,item,color
RdyH6CPjXhDjFiBn6,14,color41,size,color,othercolor,item,color
RdyH6CPjXhDjFiBn6,70,color41,size,color,othercolor,item,color
ri9WkdRrTvaRgjAbd,49,color41,size,color,othercolor,item,color
ri9WkdRrTvaRgjAbd,69,color41,size,color,othercolor,item,color
xiA5WJQ9BBwufErLv,6,color41,size,color,othercolor,item,color
xiA5WJQ9BBwufErLv,52,color41,size,color,othercolor,item,color
8mztCuTtp44PNj9aR,59,color41,size,color,othercolor,item,color
PLenL62JMPMEiyEZd,18,color41,size,color,othercolor,item,color
PLenL62JMPMEiyEZd,25,color41,size,color,othercolor,item,color
5FBHB2gcEAxFrnBTj,24,color41,size,color,othercolor,item,size_color
5FBHB2gcEAxFrnBTj,52,color41,size,color,othercolor,item,color
krPu8jL2ifeQiJtiz,3,color41,size,color,othercolor,item,color
krPu8jL2ifeQiJtiz,8,color41,size,color,othercolor,item,color
L3TwC8ZM9Kcs7QBx4,1,color41,size,color,othercolor,item,size_color
L3TwC8ZM9Kcs7QBx4,30,color41,size,color,othercolor,item,color
o9ajiSJQsC87WWPMG,16,color41,size,color,othercolor,item,color
o9ajiSJQsC87WWPMG,37,color41,size,color,othercolor,item,color
w2fzmfuovTcBBykSN,30,color41,size,color,othercolor,item,color
w2fzmfuovTcBBykSN,43,color41,size,color,othercolor,item,color
s4qdZmttuex8PYHYK,28,color41,size,color,othercolor,item,color
s4qdZmttuex8PYHYK,46,color41,size,color,othercolor,item,color
S7FpNmQk9XcQXJHTf,29,color41,size,color,othercolor,item,color
S7FpNmQk9XcQXJHTf,71,color41,size,color,othercolor,item,color
ZdgvjcuMKtwGjydbR,50,color41,size,color,othercolor,item,color
89kCaivgGxt9As4s5,13,color41,size,color,othercolor,item,color
89kCaivgGxt9As4s5,64,color41,size,color,othercolor,item,color
KkMmp5urRFWCQh3Hb,57,color41,size,color,othercolor,item,color
mJWL79uZrXh3YMtMs,3,color41,size,color,othercolor,item,color
mJWL79uZrXh3YMtMs,72,color41,size,color,othercolor,item,color
9xQZnMmmLAedmSnpb,29,color41,size,color,othercolor,item,color
9xQZnMmmLAedmSnpb,61,color41,size,color,othercolor,item,color
KchWPEsJ7AK6yb5ab,4,color41,size,color,othercolor,item,color
KchWPEsJ7AK6yb5ab,8,color41,size,color,othercolor,item,color
6iNLyBqiCFSzy3vxQ,9,color41,size,color,othercolor,item,color
6iNLyBqiCFSzy3vxQ,18,color41,size,color,othercolor,item,color
v2J2BjboP65oSJMoy,7,color42,size,color,othercolor,item,color
v2J2BjboP65oSJMoy,9,color42,size,color,othercolor,item,color
TXdqz7vwbJSeKpJHS,37,color42,size,color,othercolor,item,color
TXdqz7vwbJSeKpJHS,65,color42,size,color,othercolor,item,color
D5sTSEMaXM7y3Q7AW,28,color42,size,color,othercolor,item,color
g8tXfbQJ5w3Yo5kXq,7,color42,size,color,othercolor,item,color
g8tXfbQJ5w3Yo5kXq,20,color42,size,color,othercolor,item,color
Drac2QY2EJGirNSty,20,color42,size,color,othercolor,item,color
Drac2QY2EJGirNSty,35,color42,size,color,othercolor,item,color
ncA5wQm2wMWx6Qw4m,23,color42,size,color,othercolor,item,color
ncA5wQm2wMWx6Qw4m,48,color42,size,color,othercolor,item,color
RdyH6CPjXhDjFiBn6,2,color42,size,color,othercolor,item,color
RdyH6CPjXhDjFiBn6,67,color42,size,color,othercolor,item,color
ri9WkdRrTvaRgjAbd,35,color42,size,color,othercolor,item,color
ri9WkdRrTvaRgjAbd,56,color42,size,color,othercolor,item,color
xiA5WJQ9BBwufErLv,66,color42,size,color,othercolor,item,color
xiA5WJQ9BBwufErLv,71,color42,size,color,othercolor,item,color
8mztCuTtp44PNj9aR,19,color42,size,color,othercolor,item,color
8mztCuTtp44PNj9aR,22,color42,size,color,othercolor,item,color
PLenL62JMPMEiyEZd,24,color42,size,color,othercolor,item,color
PLenL62JMPMEiyEZd,70,color42,size,color,othercolor,item,color
MjtKysa8uTdkgCZhY,53,color42,size,color,othercolor,item,color
5FBHB2gcEAxFrnBTj,10,color42,size,color,othercolor,item,size_color
5FBHB2gcEAxFrnBTj,30,color42,size,color,othercolor,item,size_color
krPu8jL2ifeQiJtiz,42,color42,size,color,othercolor,item,color
krPu8jL2ifeQiJtiz,57,color42,size,color,othercolor,item,color
L3TwC8ZM9Kcs7QBx4,51,color42,size,color,othercolor,item,color
L3TwC8ZM9Kcs7QBx4,68,color42,size,color,othercolor,item,color
o9ajiSJQsC87WWPMG,17,color42,size,color,othercolor,item,color
o9ajiSJQsC87WWPMG,44,color42,size,color,othercolor,item,color
w2fzmfuovTcBBykSN,7,color42,size,color,othercolor,item,color
w2fzmfuovTcBBykSN,44,color42,size,color,othercolor,item,color
s4qdZmttuex8PYHYK,18,color42,size,color,othercolor,item,color
s4qdZmttuex8PYHYK,65,color42,size,color,othercolor,item,color
S7FpNmQk9XcQXJHTf,43,color42,size,color,othercolor,item,color
S7FpNmQk9XcQXJHTf,61,color42,size,color,othercolor,item,color
ZdgvjcuMKtwGjydbR,4,color42,size,color,othercolor,item,color
ZdgvjcuMKtwGjydbR,9,color42,size,color,othercolor,item,color
89kCaivgGxt9As4s5,12,color42,size,color,othercolor,item,color
89kCaivgGxt9As4s5,51,color42,size,color,othercolor,item,color
KkMmp5urRFWCQh3Hb,4,color42,size,color,othercolor,item,color
mJWL79uZrXh3YMtMs,2,color42,size,color,othercolor,item,color
mJWL79uZrXh3YMtMs,43,color42,size,color,othercolor,item,color
9xQZnMmmLAedmSnpb,13,color42,size,color,othercolor,item,color
9xQZnMmmLAedmSnpb,41,color42,size,color,othercolor,item,color
KchWPEsJ7AK6yb5ab,67,color42,size,color,othercolor,item,color
KchWPEsJ7AK6yb5ab,71,color42,size,color,othercolor,item,color
6iNLyBqiCFSzy3vxQ,37,color42,size,color,othercolor,item,color
6iNLyBqiCFSzy3vxQ,55,color42,size,color,othercolor,item,color
TXdqz7vwbJSeKpJHS,47,color43,size,color,othercolor,item,color
g8tXfbQJ5w3Yo5kXq,55,color43,size,color,othercolor,item,color
g8tXfbQJ5w3Yo5kXq,58,color43,size,color,othercolor,item,color
Drac2QY2EJGirNSty,34,color43,size,color,othercolor,item,color
Drac2QY2EJGirNSty,47,color43,size,color,othercolor,item,color
ncA5wQm2wMWx6Qw4m,59,color43,size,color,othercolor,item,color
ncA5wQm2wMWx6Qw4m,71,color43,size,color,othercolor,item,color
RdyH6CPjXhDjFiBn6,5,color43,size,color,othercolor,item,color
RdyH6CPjXhDjFiBn6,35,color43,size,color,othercolor,item,color
ri9WkdRrTvaRgjAbd,40,color43,size,color,othercolor,item,color
ri9WkdRrTvaRgjAbd,46,color43,size,color,othercolor,item,color
xiA5WJQ9BBwufErLv,58,color43,size,color,othercolor,item,color
xiA5WJQ9BBwufErLv,68,color43,size,color,othercolor,item,color
8mztCuTtp44PNj9aR,41,color43,size,color,othercolor,item,color
8mztCuTtp44PNj9aR,67,color43,size,color,othercolor,item,color
C9425wL5d2jqqrfnt,23,color43,size,color,othercolor,item,color
PLenL62JMPMEiyEZd,10,color43,size,color,othercolor,item,color
PLenL62JMPMEiyEZd,52,color43,size,color,othercolor,item,color
5FBHB2gcEAxFrnBTj,23,color43,size,color,othercolor,item,size_color
5FBHB2gcEAxFrnBTj,59,color43,size,color,othercolor,item,color
krPu8jL2ifeQiJtiz,26,color43,size,color,othercolor,item,color
krPu8jL2ifeQiJtiz,50,color43,size,color,othercolor,item,color
L3TwC8ZM9Kcs7QBx4,22,color43,size,color,othercolor,item,color
L3TwC8ZM9Kcs7QBx4,64,color43,size,color,othercolor,item,color
o9ajiSJQsC87WWPMG,4,color43,size,color,othercolor,item,color
o9ajiSJQsC87WWPMG,11,color43,size,color,othercolor,item,color
w2fzmfuovTcBBykSN,19,color43,size,color,othercolor,item,color
w2fzmfuovTcBBykSN,32,color43,size,color,othercolor,item,color
s4qdZmttuex8PYHYK,15,color43,size,color,othercolor,item,color
s4qdZmttuex8PYHYK,67,color43,size,color,othercolor,item,color
S7FpNmQk9XcQXJHTf,28,color43,size,color,othercolor,item,color
S7FpNmQk9XcQXJHTf,50,color43,size,color,othercolor,item,color
ZdgvjcuMKtwGjydbR,48,color43,size,color,othercolor,item,color
ZdgvjcuMKtwGjydbR,62,color43,size,color,othercolor,item,color
89kCaivgGxt9As4s5,32,color43,size,color,othercolor,item,color
89kCaivgGxt9As4s5,55,color43,size,color,othercolor,item,color
mJWL79uZrXh3YMtMs,14,color43,size,color,othercolor,item,color
mJWL79uZrXh3YMtMs,28,color43,size,color,othercolor,item,color
9xQZnMmmLAedmSnpb,48,color43,size,color,othercolor,item,color
9xQZnMmmLAedmSnpb,69,color43,size,color,othercolor,item,color
KchWPEsJ7AK6yb5ab,13,color43,size,color,othercolor,item,color
KchWPEsJ7AK6yb5ab,23,color43,size,color,othercolor,item,color
6iNLyBqiCFSzy3vxQ,45,color43,size,color,othercolor,item,color
6iNLyBqiCFSzy3vxQ,57,color43,size,color,othercolor,item,color
TXdqz7vwbJSeKpJHS,6,color44,size,color,othercolor,item,color
TXdqz7vwbJSeKpJHS,61,color44,size,color,othercolor,item,color
g8tXfbQJ5w3Yo5kXq,43,color44,size,color,othercolor,item,color
g8tXfbQJ5w3Yo5kXq,71,color44,size,color,othercolor,item,color
Drac2QY2EJGirNSty,57,color44,size,color,othercolor,item,color
Drac2QY2EJGirNSty,66,color44,size,color,othercolor,item,color
ncA5wQm2wMWx6Qw4m,35,color44,size,color,othercolor,item,color
ncA5wQm2wMWx6Qw4m,58,color44,size,color,othercolor,item,color
RdyH6CPjXhDjFiBn6,22,color44,size,color,othercolor,item,color
RdyH6CPjXhDjFiBn6,60,color44,size,color,othercolor,item,color
ri9WkdRrTvaRgjAbd,19,color44,size,color,othercolor,item,color
ri9WkdRrTvaRgjAbd,29,color44,size,color,othercolor,item,color
xiA5WJQ9BBwufErLv,1,color44,size,color,othercolor,item,color
xiA5WJQ9BBwufErLv,63,color44,size,color,othercolor,item,color
8mztCuTtp44PNj9aR,13,color44,size,color,othercolor,item,color
8mztCuTtp44PNj9aR,23,color44,size,color,othercolor,item,color
C9425wL5d2jqqrfnt,30,color44,size,color,othercolor,item,color
PLenL62JMPMEiyEZd,19,color44,size,color,othercolor,item,color
PLenL62JMPMEiyEZd,41,color44,size,color,othercolor,item,color
5FBHB2gcEAxFrnBTj,4,color44,size,color,othercolor,item,color
5FBHB2gcEAxFrnBTj,35,color44,size,color,othercolor,item,color
krPu8jL2ifeQiJtiz,17,color44,size,color,othercolor,item,color
krPu8jL2ifeQiJtiz,60,color44,size,color,othercolor,item,color
L3TwC8ZM9Kcs7QBx4,31,color44,size,color,othercolor,item,color
L3TwC8ZM9Kcs7QBx4,36,color44,size,color,othercolor,item,color
o9ajiSJQsC87WWPMG,51,color44,size,color,othercolor,item,color
o9ajiSJQsC87WWPMG,52,color44,size,color,othercolor,item,color
w2fzmfuovTcBBykSN,3,color44,size,color,othercolor,item,color
s4qdZmttuex8PYHYK,30,color44,size,color,othercolor,item,color
s4qdZmttuex8PYHYK,60,color44,size,color,othercolor,item,color
S7FpNmQk9XcQXJHTf,27,color44,size,color,othercolor,item,color
S7FpNmQk9XcQXJHTf,63,color44,size,color,othercolor,item,color
ZdgvjcuMKtwGjydbR,61,color44,size,color,othercolor,item,color
ZdgvjcuMKtwGjydbR,71,color44,size,color,othercolor,item,color
89kCaivgGxt9As4s5,37,color44,size,color,othercolor,item,color
89kCaivgGxt9As4s5,52,color44,size,color,othercolor,item,color
KkMmp5urRFWCQh3Hb,16,color44,size,color,othercolor,item,color
KkMmp5urRFWCQh3Hb,47,color44,size,color,othercolor,item,color
mJWL79uZrXh3YMtMs,19,color44,size,color,othercolor,item,color
mJWL79uZrXh3YMtMs,36,color44,size,color,othercolor,item,color
9xQZnMmmLAedmSnpb,39,color44,size,color,othercolor,item,color
9xQZnMmmLAedmSnpb,63,color44,size,color,othercolor,item,color
